Particle,n_H,n_g,T_gas,T_dust,chi,F_X
227,3.16228E+05,6.32456E-07,7.42360E+02,1.32975E+02,9.99834E+04,0.00000E+00
228,3.16228E+05,6.32456E-07,7.42359E+02,1.32975E+02,9.99831E+04,0.00000E+00
229,3.16228E+05,6.32456E-07,7.42359E+02,1.32974E+02,9.99828E+04,0.00000E+00
230,3.16228E+05,6.32456E-07,7.42358E+02,1.32974E+02,9.99825E+04,0.00000E+00
231,3.16228E+05,6.32456E-07,7.42357E+02,1.32974E+02,9.99822E+04,0.00000E+00
232,3.16228E+05,6.32456E-07,7.42356E+02,1.32974E+02,9.99819E+04,0.00000E+00
233,3.16228E+05,6.32456E-07,7.42356E+02,1.32974E+02,9.99816E+04,0.00000E+00
234,3.16228E+05,6.32456E-07,7.42355E+02,1.32974E+02,9.99813E+04,0.00000E+00
235,3.16228E+05,6.32456E-07,7.42354E+02,1.32974E+02,9.99810E+04,0.00000E+00
236,3.16228E+05,6.32456E-07,7.42353E+02,1.32974E+02,9.99807E+04,0.00000E+00
237,3.16228E+05,6.32456E-07,7.42353E+02,1.32974E+02,9.99804E+04,0.00000E+00
238,3.16228E+05,6.32456E-07,7.42352E+02,1.32974E+02,9.99801E+04,0.00000E+00
239,3.16228E+05,6.32456E-07,7.42351E+02,1.32974E+02,9.99798E+04,0.00000E+00
240,3.16228E+05,6.32456E-07,7.42351E+02,1.32974E+02,9.99795E+04,0.00000E+00
241,3.16228E+05,6.32456E-07,7.42350E+02,1.32974E+02,9.99792E+04,0.00000E+00
242,3.16228E+05,6.32456E-07,7.42349E+02,1.32973E+02,9.99789E+04,0.00000E+00
243,3.16228E+05,6.32456E-07,7.42348E+02,1.32973E+02,9.99786E+04,0.00000E+00
244,3.16228E+05,6.32456E-07,7.42348E+02,1.32973E+02,9.99783E+04,0.00000E+00
245,3.16228E+05,6.32456E-07,7.42347E+02,1.32973E+02,9.99780E+04,0.00000E+00
246,3.16228E+05,6.32456E-07,7.42346E+02,1.32973E+02,9.99777E+04,0.00000E+00
247,3.16228E+05,6.32456E-07,7.42345E+02,1.32973E+02,9.99774E+04,0.00000E+00
248,3.16228E+05,6.32456E-07,7.42345E+02,1.32973E+02,9.99770E+04,0.00000E+00
249,3.16228E+05,6.32456E-07,7.42344E+02,1.32973E+02,9.99767E+04,0.00000E+00
250,3.16228E+05,6.32456E-07,7.42343E+02,1.32973E+02,9.99764E+04,0.00000E+00
251,3.16228E+05,6.32456E-07,7.42342E+02,1.32973E+02,9.99761E+04,0.00000E+00
